accounting_period,column,line,item,amount
2007-06-30,ASSET,7,Securities of euro area residents denominated in euro,8601926229
2007-06-30,ASSET,8,General government debt denominated in euro,8260713078
2007-06-30,ASSET,9,Intra-Eurosystem claims,1436830806
2007-06-30,ASSET,11,Other assets,8418484429
2007-06-30,LIABILITY,1,Banknotes in circulation,15221254440
2007-06-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,5150768199
2007-06-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,36608600
2007-06-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1140642576
2007-06-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,857274494
2007-06-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,68663137
2007-06-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,111332571
2007-06-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,116214912
2007-06-30,LIABILITY,9,Intra-Eurosystem liabilities,9264693872
2007-06-30,LIABILITY,11,Other liabilities,843387314
2007-06-30,LIABILITY,12,Provisions,1051508509
2007-06-30,LIABILITY,13,Revaluation accounts,551081307
2007-06-30,LIABILITY,14,Capital and reserves,667271910
2007-07-31,ASSET,1,Gold and gold receivables,2204671154
2007-07-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,574958787
2007-07-31,ASSET,3,Claims on euro area residents denominated in foreign currency,402972700
2007-07-31,ASSET,4,Claims on non-euro area residents denominated in euro,490201974
2007-07-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,3874345005
2007-07-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,705035240
2007-07-31,ASSET,7,Securities of euro area residents denominated in euro,8676282389
2007-07-31,ASSET,8,General government debt denominated in euro,8261918757
2007-07-31,ASSET,9,Intra-Eurosystem claims,1436830806
2007-07-31,ASSET,11,Other assets,8374585249
2007-07-31,LIABILITY,1,Banknotes in circulation,15394739115
2007-07-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3179386527
2007-07-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,36608600
2007-07-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1583264021
2007-07-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,862303434
2007-07-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,54800672
2007-07-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,111332571
2007-07-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,116214912
2007-07-31,LIABILITY,9,Intra-Eurosystem liabilities,10534003779
2007-07-31,LIABILITY,11,Other liabilities,787738232
2007-07-31,LIABILITY,12,Provisions,1051517480
2007-07-31,LIABILITY,13,Revaluation accounts,551116278
2007-07-31,LIABILITY,14,Capital and reserves,738776440
2007-08-31,ASSET,1,Gold and gold receivables,2204846770
2007-08-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,472533882
2007-08-31,ASSET,3,Claims on euro area residents denominated in foreign currency,343636137
2007-08-31,ASSET,4,Claims on non-euro area residents denominated in euro,573858697
2007-08-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,3832608115
2007-08-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,504181400
2007-08-31,ASSET,7,Securities of euro area residents denominated in euro,9054746277
2007-08-31,ASSET,8,General government debt denominated in euro,8258700707
2007-08-31,ASSET,9,Intra-Eurosystem claims,1436830806
2007-08-31,ASSET,11,Other assets,8390271924
2007-08-31,LIABILITY,1,Banknotes in circulation,15320079392
2007-08-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,2561291413
2007-08-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,12000000
2007-08-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1052141371
2007-08-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,856870048
2007-08-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,59666414
2007-08-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,111332571
2007-08-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,116214912
2007-08-31,LIABILITY,9,Intra-Eurosystem liabilities,11760773214
2007-08-31,LIABILITY,11,Other liabilities,877349680
2007-08-31,LIABILITY,12,Provisions,1051525219
2007-08-31,LIABILITY,13,Revaluation accounts,554194041
2007-08-31,LIABILITY,14,Capital and reserves,738776440
2007-09-30,ASSET,1,Gold and gold receivables,2390320696
2007-09-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,530158812
2007-09-30,ASSET,3,Claims on euro area residents denominated in foreign currency,467105442
2007-09-30,ASSET,4,Claims on non-euro area residents denominated in euro,84652254
2007-09-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,4682034530
2007-09-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,107128859
2007-09-30,ASSET,7,Securities of euro area residents denominated in euro,10010827482
2007-09-30,ASSET,8,General government debt denominated in euro,8259447017
2007-09-30,ASSET,9,Intra-Eurosystem claims,1436830806
2007-09-30,ASSET,11,Other assets,8419205834
2007-09-30,LIABILITY,1,Banknotes in circulation,15322604115
2007-09-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,4733278139
2007-09-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,45400000
2007-09-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,969408088
2007-09-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,860369371
2007-09-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,63002105
2007-09-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,107690572
2007-09-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,113673440
2007-09-30,LIABILITY,9,Intra-Eurosystem liabilities,10749278965
2007-09-30,LIABILITY,11,Other liabilities,892315185
2007-09-30,LIABILITY,12,Provisions,1051533844
2007-09-30,LIABILITY,13,Revaluation accounts,740337053
2007-09-30,LIABILITY,14,Capital and reserves,738820855
2007-10-31,ASSET,1,Gold and gold receivables,2392179329
2007-10-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,521793541
2007-10-31,ASSET,3,Claims on euro area residents denominated in foreign currency,546002724
2007-10-31,ASSET,4,Claims on non-euro area residents denominated in euro,333621697
2007-10-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,4582034530
2007-10-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,137180414
2007-10-31,ASSET,7,Securities of euro area residents denominated in euro,9470522177
2007-10-31,ASSET,8,General government debt denominated in euro,8246592803
2007-10-31,ASSET,9,Intra-Eurosystem claims,1436830806
2007-10-31,ASSET,11,Other assets,8426946571
2007-10-31,LIABILITY,1,Banknotes in circulation,15431816505
2007-10-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,4131335020
2007-10-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,45400000
2007-10-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1243898059
2007-10-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,849124146
2007-10-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,71677750
2007-10-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,107690572
2007-10-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,113673440
2007-10-31,LIABILITY,9,Intra-Eurosystem liabilities,10673759441
2007-10-31,LIABILITY,11,Other liabilities,895498253
2007-10-31,LIABILITY,12,Provisions,1051256164
2007-10-31,LIABILITY,13,Revaluation accounts,739754387
2007-10-31,LIABILITY,14,Capital and reserves,738820855
2007-11-30,ASSET,1,Gold and gold receivables,2395420750
2007-11-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,492527285
2007-11-30,ASSET,3,Claims on euro area residents denominated in foreign currency,735880843
2007-11-30,ASSET,4,Claims on non-euro area residents denominated in euro,217655994
2007-11-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,5475572213
2007-11-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,96287857
2007-11-30,ASSET,7,Securities of euro area residents denominated in euro,9093297107
2007-11-30,ASSET,8,General government debt denominated in euro,8240416990
2007-11-30,ASSET,9,Intra-Eurosystem claims,1436830806
2007-11-30,ASSET,11,Other assets,8500025144
2007-11-30,LIABILITY,1,Banknotes in circulation,15524822565
2007-11-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,4302064504
2007-11-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,45400000
2007-11-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,823519280
2007-11-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,846537287
2007-11-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,77301121
2007-11-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,107690572
2007-11-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,113673440
2007-11-30,LIABILITY,9,Intra-Eurosystem liabilities,11330335421
2007-11-30,LIABILITY,11,Other liabilities,980670140
2007-11-30,LIABILITY,12,Provisions,1051233868
2007-11-30,LIABILITY,13,Revaluation accounts,741845936
2007-11-30,LIABILITY,14,Capital and reserves,738820855
2007-12-31,ASSET,1,Gold and gold receivables,2616818200
2007-12-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,438938791
2007-12-31,ASSET,3,Claims on euro area residents denominated in foreign currency,700340293
2007-12-31,ASSET,4,Claims on non-euro area residents denominated in euro,1002041543
2007-12-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,8727274500
2007-12-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,232122255
2007-12-31,ASSET,7,Securities of euro area residents denominated in euro,10518594994
2007-12-31,ASSET,8,General government long term debt denominated in euro,8231573922
2007-12-31,ASSET,9,Intra-Eurosystem claims,1443521602
2007-12-31,ASSET,10,Items in course of settlement,3352187
2007-12-31,ASSET,11,Other assets,8746291885
2007-12-31,LIABILITY,1,Banknotes in circulation,16269736665
2007-12-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,7107978508
2007-12-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,33400000
2007-12-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1215526026
2007-12-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,838556609
2007-12-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,81162206
2007-12-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,102325450
2007-12-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,111207295
2007-12-31,LIABILITY,9,Intra-Eurosystem liabilities,13195830237
2007-12-31,LIABILITY,10,Items in course of settlement,43934772
2007-12-31,LIABILITY,11,Other liabilities,747352247
2007-12-31,LIABILITY,12,Provisions,1173625858
2007-12-31,LIABILITY,13,Revaluation accounts,965418437
2007-12-31,LIABILITY,14,Capital and reserves,774815862
2008-01-31,ASSET,1,Gold and gold receivables,2618910500
2008-01-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,227120109
2008-01-31,ASSET,3,Claims on euro area residents denominated in foreign currency,668552760
2008-01-31,ASSET,4,Claims on non-euro area residents denominated in euro,698888750
2008-01-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,4041942670
2008-01-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,246756936
2008-01-31,ASSET,7,Securities of euro area residents denominated in euro,8584326461
2008-01-31,ASSET,8,General government long term debt denominated in euro,8229747853
2008-01-31,ASSET,9,Intra-Eurosystem claims,1436830805
2008-01-31,ASSET,11,Other assets,8656118797
2008-01-31,LIABILITY,1,Banknotes in circulation,15596160360
2008-01-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,4013090420
2008-01-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,33400000
2008-01-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,5268900358
2008-01-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,833136571
2008-01-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,88824748
2008-01-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,102325450
2008-01-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,111207295
2008-01-31,LIABILITY,9,Intra-Eurosystem liabilities,5636962265
2008-01-31,LIABILITY,11,Other liabilities,801459048
2008-01-31,LIABILITY,12,Provisions,1173633821
2008-01-31,LIABILITY,13,Revaluation accounts,975279443
2008-01-31,LIABILITY,14,Capital and reserves,774815862
2008-02-29,ASSET,1,Gold and gold receivables,2620762553
2008-02-29,ASSET,2,Claims on non-euro area residents denominated in foreign currency,281044595
2008-02-29,ASSET,3,Claims on euro area residents denominated in foreign currency,457950867
2008-02-29,ASSET,4,Claims on non-euro area residents denominated in euro,845509664
2008-02-29,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,4730071150
2008-02-29,ASSET,6,Other claims on euro area credit institutions denominated in euro,199681452
2008-02-29,ASSET,7,Securities of euro area residents denominated in euro,11060261641
2008-02-29,ASSET,8,General government long term debt denominated in euro,8229747853
2008-02-29,ASSET,9,Intra-Eurosystem claims,1436830805
2008-02-29,ASSET,11,Other assets,9089923330
2008-02-29,LIABILITY,1,Banknotes in circulation,15862822050
2008-02-29,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3812043789
2008-02-29,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,33400000
2008-02-29,LIABILITY,4,Liabilities to other euro area residents denominated in euro,10833949398
2008-02-29,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,832264179
2008-02-29,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,94630854
2008-02-29,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,102325450
2008-02-29,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,111207295
2008-02-29,LIABILITY,9,Intra-Eurosystem liabilities,3436568356
2008-02-29,LIABILITY,11,Other liabilities,907269237
2008-02-29,LIABILITY,12,Provisions,1173511304
2008-02-29,LIABILITY,13,Revaluation accounts,976976136
2008-02-29,LIABILITY,14,Capital and reserves,774815862
2008-03-31,ASSET,1,Gold and gold receivables,2620762553
2008-03-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,669812378
2008-03-31,ASSET,3,Claims on euro area residents denominated in foreign currency,517710031
2008-03-31,ASSET,4,Claims on non-euro area residents denominated in euro,888926712
2008-03-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,6222805855
2008-03-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,331672782
2008-03-31,ASSET,7,Securities of euro area residents denominated in euro,11008774095
2008-03-31,ASSET,8,General government long term debt denominated in euro,8229747853
2008-03-31,ASSET,9,Intra-Eurosystem claims,1436830805
2008-03-31,ASSET,11,Other assets,8790072040
2008-03-31,LIABILITY,1,Banknotes in circulation,16283317586
2008-03-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,6360931789
2008-03-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2008-03-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,3089399098
2008-03-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,1142748081
2008-03-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,89692488
2008-03-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,102325450
2008-03-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,111207295
2008-03-31,LIABILITY,9,Intra-Eurosystem liabilities,8661525541
2008-03-31,LIABILITY,11,Other liabilities,1961683480
2008-03-31,LIABILITY,12,Provisions,1173511304
2008-03-31,LIABILITY,13,Revaluation accounts,966906508
2008-03-31,LIABILITY,14,Capital and reserves,773866484
2008-04-30,ASSET,1,Gold and gold receivables,2622216873
2008-04-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,239433529
2008-04-30,ASSET,3,Claims on euro area residents denominated in foreign currency,585850750
2008-04-30,ASSET,4,Claims on non-euro area residents denominated in euro,1014119135
2008-04-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,6853434656
2008-04-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,134373116
2008-04-30,ASSET,7,Securities of euro area residents denominated in euro,10966260928
2008-04-30,ASSET,8,General government long term debt denominated in euro,8208149344
2008-04-30,ASSET,9,Intra-Eurosystem claims,1436830805
2008-04-30,ASSET,11,Other assets,9183536112
2008-04-30,LIABILITY,1,Banknotes in circulation,16057775360
2008-04-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3947716333
2008-04-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2008-04-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1438648258
2008-04-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,811372530
2008-04-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,97164923
2008-04-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,102325450
2008-04-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,111207295
2008-04-30,LIABILITY,9,Intra-Eurosystem liabilities,14908945872
2008-04-30,LIABILITY,11,Other liabilities,856499956
2008-04-30,LIABILITY,12,Provisions,1173511175
2008-04-30,LIABILITY,13,Revaluation accounts,965171612
2008-04-30,LIABILITY,14,Capital and reserves,773866484
2008-05-31,ASSET,1,Gold and gold receivables,2623090732
2008-05-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,231548622
2008-05-31,ASSET,3,Claims on euro area residents denominated in foreign currency,617541071
2008-05-31,ASSET,4,Claims on non-euro area residents denominated in euro,1176177843
2008-05-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,9482753921
2008-05-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,216465301
2008-05-31,ASSET,7,Securities of euro area residents denominated in euro,13273520721
2008-05-31,ASSET,8,General government long term debt denominated in euro,8211212755
2008-05-31,ASSET,9,Intra-Eurosystem claims,1436830805
2008-05-31,ASSET,11,Other assets,9390125391
2008-05-31,LIABILITY,1,Banknotes in circulation,16110267581
2008-05-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3931285932
2008-05-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,0
2008-05-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,829034746
2008-05-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,810117072
2008-05-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,99131782
2008-05-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,102325450
2008-05-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,111207295
2008-05-31,LIABILITY,9,Intra-Eurosystem liabilities,20886463048
2008-05-31,LIABILITY,11,Other liabilities,869773316
2008-05-31,LIABILITY,12,Provisions,1173439165
2008-05-31,LIABILITY,13,Revaluation accounts,962353782
2008-05-31,LIABILITY,14,Capital and reserves,773867993
2008-06-30,ASSET,1,Gold and gold receivables,2731827028
2008-06-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,244272987
2008-06-30,ASSET,3,Claims on euro area residents denominated in foreign currency,548665393
2008-06-30,ASSET,4,Claims on non-euro area residents denominated in euro,1112383079
2008-06-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,11372347566
2008-06-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,174554660
2008-06-30,ASSET,7,Securities of euro area residents denominated in euro,13508572012
2008-06-30,ASSET,8,General government long term debt denominated in euro,7741274364
2008-06-30,ASSET,9,Intra-Eurosystem claims,1436830805
2008-06-30,ASSET,11,Other assets,9758890960
2008-06-30,LIABILITY,1,Banknotes in circulation,16271533080
2008-06-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,3172568815
2008-06-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-06-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,794546607
2008-06-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,812201349
2008-06-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,99128380
2008-06-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,94721039
2008-06-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,107209493
2008-06-30,LIABILITY,9,Intra-Eurosystem liabilities,23389628604
2008-06-30,LIABILITY,11,Other liabilities,800062529
2008-06-30,LIABILITY,12,Provisions,1173459646
2008-06-30,LIABILITY,13,Revaluation accounts,1071691606
2008-06-30,LIABILITY,14,Capital and reserves,773867706
2008-07-31,ASSET,1,Gold and gold receivables,2732707053
2008-07-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,272175751
2008-07-31,ASSET,3,Claims on euro area residents denominated in foreign currency,801893335
2008-07-31,ASSET,4,Claims on non-euro area residents denominated in euro,1010051919
2008-07-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,11997189121
2008-07-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,79820449
2008-07-31,ASSET,7,Securities of euro area residents denominated in euro,11312449733
2008-07-31,ASSET,8,General government long term debt denominated in euro,7735759709
2008-07-31,ASSET,9,Intra-Eurosystem claims,1436830806
2008-07-31,ASSET,11,Other assets,9670043029
2008-07-31,LIABILITY,1,Banknotes in circulation,16463301140
2008-07-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,4296475260
2008-07-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-07-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,2242162286
2008-07-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,801121982
2008-07-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,98030185
2008-07-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,94721039
2008-07-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,107209493
2008-07-31,LIABILITY,9,Intra-Eurosystem liabilities,19021408713
2008-07-31,LIABILITY,11,Other liabilities,836372624
2008-07-31,LIABILITY,12,Provisions,1173217743
2008-07-31,LIABILITY,13,Revaluation accounts,1072032383
2008-07-31,LIABILITY,14,Capital and reserves,773868057
2008-08-31,ASSET,1,Gold and gold receivables,2733121812
2008-08-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,274794474
2008-08-31,ASSET,3,Claims on euro area residents denominated in foreign currency,1012027312
2008-08-31,ASSET,4,Claims on non-euro area residents denominated in euro,1010888696
2008-08-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,10623948766
2008-08-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,86800099
2008-08-31,ASSET,7,Securities of euro area residents denominated in euro,9795245813
2008-08-31,ASSET,8,General government long term debt denominated in euro,7737016790
2008-08-31,ASSET,9,Intra-Eurosystem claims,1436830806
2008-08-31,ASSET,11,Other assets,9711674718
2008-08-31,LIABILITY,1,Banknotes in circulation,16387284540
2008-08-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,5294876115
2008-08-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-08-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,955517767
2008-08-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,797554396
2008-08-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,103964681
2008-08-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,94721039
2008-08-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,107209493
2008-08-31,LIABILITY,9,Intra-Eurosystem liabilities,16452381122
2008-08-31,LIABILITY,11,Other liabilities,1141365617
2008-08-31,LIABILITY,12,Provisions,1173120691
2008-08-31,LIABILITY,13,Revaluation accounts,1071485768
2008-08-31,LIABILITY,14,Capital and reserves,773868057
2008-09-30,ASSET,1,Gold and gold receivables,2956344654
2008-09-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,272211714
2008-09-30,ASSET,3,Claims on euro area residents denominated in foreign currency,1106864119
2008-09-30,ASSET,4,Claims on non-euro area residents denominated in euro,1011606766
2008-09-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,14147930116
2008-09-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,88097572
2008-09-30,ASSET,7,Securities of euro area residents denominated in euro,7596250520
2008-09-30,ASSET,8,General government long term debt denominated in euro,7754064706
2008-09-30,ASSET,9,Intra-Eurosystem claims,1437049735
2008-09-30,ASSET,11,Other assets,9690767035
2008-09-30,LIABILITY,1,Banknotes in circulation,16399634240
2008-09-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,6814661915
2008-09-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-09-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,2335747577
2008-09-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,825257430
2008-09-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,99725780
2008-09-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,94956220
2008-09-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,112697272
2008-09-30,LIABILITY,9,Intra-Eurosystem liabilities,15124188650
2008-09-30,LIABILITY,11,Other liabilities,988075566
2008-09-30,LIABILITY,12,Provisions,1173037587
2008-09-30,LIABILITY,13,Revaluation accounts,1252513287
2008-09-30,LIABILITY,14,Capital and reserves,771691413
2008-10-31,ASSET,1,Gold and gold receivables,2953534092
2008-10-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,187192194
2008-10-31,ASSET,3,Claims on euro area residents denominated in foreign currency,2830144867
2008-10-31,ASSET,4,Claims on non-euro area residents denominated in euro,1042366760
2008-10-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,20567862700
2008-10-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,81886836
2008-10-31,ASSET,7,Securities of euro area residents denominated in euro,6740968620
2008-10-31,ASSET,8,General government long term debt denominated in euro,7768735648
2008-10-31,ASSET,9,Intra-Eurosystem claims,1437049735
2008-10-31,ASSET,11,Other assets,9674960133
2008-10-31,LIABILITY,1,Banknotes in circulation,17446700940
2008-10-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,5501706163
2008-10-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,69000000
2008-10-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,1913630351
2008-10-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,842295373
2008-10-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,108530791
2008-10-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,94956220
2008-10-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,112877331
2008-10-31,LIABILITY,9,Intra-Eurosystem liabilities,22923781152
2008-10-31,LIABILITY,11,Other liabilities,1063750036
2008-10-31,LIABILITY,12,Provisions,1173014321
2008-10-31,LIABILITY,13,Revaluation accounts,1262767494
2008-10-31,LIABILITY,14,Capital and reserves,771691413
2008-11-30,ASSET,1,Gold and gold receivables,2954081689
2008-11-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,240784718
2008-11-30,ASSET,3,Claims on euro area residents denominated in foreign currency,3350674996
2008-11-30,ASSET,4,Claims on non-euro area residents denominated in euro,1045253582
